Date,Open,High,Low,Close,Volume
12/31/2004,"8.48","8.48","8.41","8.48","1,864,687"
12/30/2004,"8.48","8.55","8.48","8.48","2,142,086"
12/29/2004,"8.48","8.55","8.41","8.55","1,504,889"
12/28/2004,"8.41","8.55","8.41","8.48","3,231,920"
12/27/2004,"8.48","8.55","8.41","8.48","1,697,245"
12/24/2004,"8.48","8.55","8.48","8.55","2,215,995"
12/23/2004,"8.55","8.55","8.48","8.55","1,533,283"
12/22/2004,"8.48","8.62","8.48","8.48","4,198,851"
12/21/2004,"8.48","8.55","8.48","8.55","2,692,431"
12/20/2004,"8.48","8.55","8.41","8.55","3,344,522"
12/17/2004,"8.41","8.55","8.41","8.55","5,253,749"
12/16/2004,"8.48","8.55","8.41","8.41","673,247"
12/15/2004,"8.48","8.55","8.41","8.55","4,894,646"
12/14/2004,"8.48","8.55","8.48","8.48","2,802,389"
12/13/2004,"8.48","8.55","8.41","8.48","2,938,235"
12/10/2004,"8.41","8.55","8.41","8.55","3,679,684"
12/09/2004,"8.41","8.55","8.41","8.41","4,057,576"
12/08/2004,"8.48","8.48","8.41","8.41","6,520,628"
12/07/2004,"8.48","8.55","8.48","8.55","1,249,898"
12/06/2004,"8.48","8.55","8.48","8.55","5,164,391"
12/03/2004,"8.55","8.55","8.41","8.48","2,668,630"
12/02/2004,"8.55","8.62","8.48","8.55","4,696,723"
12/01/2004,"8.55","8.55","8.41","8.48","3,629,716"
11/30/2004,"8.62","8.62","8.48","8.62","3,899,599"
11/29/2004,"8.33","8.62","8.33","8.62","9,546,551"
11/26/2004,"8.26","8.41","8.26","8.33","2,456,231"
11/25/2004,"8.41","8.41","8.19","8.19","3,669,663"
11/24/2004,"8.33","8.48","8.33","8.41","10,835,422"
11/23/2004,"8.19","8.33","8.19","8.33","6,433,358"
11/22/2004,"8.12","8.19","8.12","8.19","3,261,706"
11/19/2004,"8.19","8.19","8.12","8.19","2,059,409"
11/18/2004,"8.19","8.33","8.05","8.19","15,188,492"
11/17/2004,"8.05","8.19","8.05","8.12","8,659,235"
11/10/2004,"7.97","8.05","7.90","7.97","5,289,520"
11/09/2004,"7.90","7.97","7.90","7.97","3,920,199"
11/08/2004,"8.05","8.05","7.90","7.97","4,073,305"
11/05/2004,"8.12","8.19","8.05","8.05","2,746,575"
