Date,Open,High,Low,Close,Volume
12/31/1997,"2.71","2.71","2.51","2.71","24,474,091"
12/30/1997,"2.63","2.66","2.47","2.63","16,167,966"
12/29/1997,"2.44","2.47","2.38","2.44","8,425,548"
12/26/1997,"2.36","2.38","2.26","2.36","2,125,386"
12/24/1997,"2.26","2.29","2.22","2.26","2,085,300"
12/23/1997,"2.28","2.37","2.28","2.28","5,283,818"
12/22/1997,"2.35","2.39","2.30","2.35","3,281,195"
12/19/1997,"2.39","2.47","2.37","2.39","4,942,253"
12/18/1997,"2.49","2.49","2.37","2.49","8,131,585"
12/17/1997,"2.36","2.37","2.29","2.36","9,342,512"
12/16/1997,"2.30","2.37","2.26","2.30","8,066,445"
12/15/1997,"2.30","2.42","2.30","2.30","9,706,625"
12/12/1997,"2.39","2.51","2.24","2.39","10,150,910"
12/11/1997,"2.38","2.63","2.37","2.38","16,456,918"
12/10/1997,"2.68","2.75","2.63","2.68","9,863,628"
12/09/1997,"2.73","2.99","2.73","2.73","15,398,818"
12/08/1997,"3.02","3.11","2.51","3.02","56,126,892"
12/05/1997,"2.42","2.42","2.20","2.42","21,579,557"
12/04/1997,"2.26","2.35","2.18","2.26","8,671,909"
12/03/1997,"2.20","2.23","2.08","2.20","3,860,770"
12/02/1997,"2.08","2.12","2.05","2.08","9,718,317"
12/01/1997,"2.05","2.12","2.01","2.05","7,992,954"
11/28/1997,"2.14","2.23","2.13","2.14","13,555,703"
11/27/1997,"2.18","2.24","2.17","2.18","12,166,895"
11/26/1997,"2.17","2.32","2.13","2.17","13,087,200"
11/25/1997,"2.32","2.39","2.31","2.32","8,813,044"
11/24/1997,"2.42","2.47","2.39","2.42","9,921,252"
11/21/1997,"2.44","2.51","2.35","2.44","29,495,681"
11/20/1997,"2.44","2.63","2.44","2.44","21,972,065"
11/19/1997,"2.63","2.83","2.61","2.63","19,532,673"
11/18/1997,"2.78","3.04","2.75","2.78","27,178,216"
11/17/1997,"3.04","3.11","3.04","3.04","2,502,861"
11/14/1997,"3.09","3.19","3.09","3.09","4,061,199"
11/13/1997,"3.07","3.14","3.04","3.07","3,095,798"
11/12/1997,"3.09","3.19","3.07","3.09","5,568,595"
11/11/1997,"3.14","3.30","3.14","3.14","3,264,493"
11/10/1997,"3.21","3.26","3.19","3.21","5,014,909"
11/07/1997,"3.30","3.38","3.28","3.30","9,327,480"
11/06/1997,"3.38","3.42","3.28","3.38","8,188,373"
11/05/1997,"3.38","3.42","3.26","3.38","8,500,709"
11/04/1997,"3.40","3.50","3.35","3.40","19,910,148"
11/03/1997,"3.28","3.30","3.16","3.28","18,159,732"
10/31/1997,"3.09","3.23","3.07","3.09","8,367,089"
10/29/1997,"3.21","3.30","3.09","3.21","14,235,493"
10/28/1997,"3.02","3.14","2.99","3.02","16,907,049"
10/27/1997,"3.26","3.30","3.16","3.26","5,226,195"
10/24/1997,"3.21","3.30","3.09","3.21","24,250,278"
10/23/1997,"3.30","3.47","3.28","3.30","18,103,779"
10/22/1997,"3.47","3.64","3.45","3.47","17,014,779"
10/21/1997,"3.66","3.76","3.64","3.66","10,858,259"
10/20/1997,"3.71","3.83","3.69","3.71","9,760,073"
10/17/1997,"3.81","3.90","3.76","3.81","8,585,891"
10/16/1997,"3.83","3.93","3.81","3.83","10,260,311"
10/15/1997,"3.93","4.12","3.90","3.93","11,173,100"
10/14/1997,"4.14","4.19","4.10","4.14","3,469,098"
10/13/1997,"4.12","4.17","4.07","4.12","5,849,196"
10/10/1997,"4.07","4.14","4.02","4.07","7,670,597"
10/09/1997,"4.05","4.19","4.02","4.05","7,031,729"
10/08/1997,"4.14","4.24","3.93","4.14","20,303,491"
10/07/1997,"3.93","3.95","3.83","3.93","6,317,699"
10/06/1997,"3.86","3.93","3.83","3.86","5,290,499"
10/03/1997,"3.98","4.00","3.83","3.98","9,444,397"
10/02/1997,"3.81","3.86","3.81","3.81","6,057,976"
10/01/1997,"3.88","3.90","3.83","3.88","9,188,014"
09/30/1997,"3.90","3.93","3.83","3.90","10,417,314"
09/29/1997,"3.90","3.90","3.78","3.90","12,758,997"
09/26/1997,"3.88","3.90","3.74","3.88","7,126,098"
09/25/1997,"3.83","3.83","3.71","3.83","11,823,660"
09/24/1997,"3.74","3.83","3.71","3.74","13,179,063"
09/23/1997,"3.81","3.88","3.74","3.81","22,934,126"
09/22/1997,"3.74","3.95","3.71","3.74","22,776,287"
09/19/1997,"3.98","4.10","3.93","3.98","18,068,704"
09/18/1997,"4.02","4.14","4.02","4.02","9,521,228"
09/17/1997,"4.14","4.24","4.14","4.14","10,831,535"
09/16/1997,"4.24","4.36","4.21","4.24","8,116,553"
09/15/1997,"4.33","4.45","4.33","4.33","4,482,101"
09/12/1997,"4.45","4.48","4.17","4.45","22,306,114"
09/11/1997,"4.36","4.41","4.17","4.36","19,743,124"
09/10/1997,"4.41","4.53","4.38","4.41","10,459,905"
