Date,Open,High,Low,Close,Volume
12/31/1996,"6.71","6.71","6.47","6.71","1,547,481"
12/30/1996,"6.53","6.53","6.41","6.53","2,633,140"
12/27/1996,"6.47","6.47","6.35","6.47","1,214,268"
12/26/1996,"6.35","6.41","6.29","6.35","755,786"
12/24/1996,"6.35","6.41","6.35","6.35","2,727,509"
12/23/1996,"6.35","6.41","6.29","6.35","3,227,747"
12/20/1996,"6.35","6.41","6.23","6.35","4,869,597"
12/19/1996,"6.23","6.35","6.17","6.23","1,392,984"
12/18/1996,"6.29","6.29","6.17","6.29","4,318,417"
12/17/1996,"6.29","6.35","6.11","6.29","3,537,578"
12/16/1996,"6.29","6.29","6.17","6.29","3,484,965"
12/13/1996,"6.17","6.29","6.11","6.17","1,966,713"
12/12/1996,"6.35","6.41","6.29","6.35","3,538,413"
12/11/1996,"6.47","6.53","6.29","6.47","3,943,447"
12/10/1996,"6.41","6.47","6.41","6.41","4,013,597"
12/09/1996,"6.47","6.47","6.41","6.47","2,233,952"
12/06/1996,"6.29","6.53","6.11","6.29","6,696,010"
12/05/1996,"6.41","6.59","6.41","6.41","4,015,267"
12/04/1996,"6.47","6.59","6.35","6.47","5,203,646"
12/03/1996,"6.41","6.47","6.05","6.41","8,900,732"
12/02/1996,"6.05","6.65","6.05","6.05","23,609,739"
10/18/1996,"5.99","5.99","5.94","5.99","6,851,342"
10/17/1996,"5.99","5.99","5.96","5.99","3,183,486"
10/16/1996,"5.96","5.96","5.94","5.96","3,623,595"
10/15/1996,"5.94","5.94","5.89","5.94","4,801,953"
10/14/1996,"5.92","5.92","5.87","5.92","1,781,316"
10/11/1996,"5.92","5.92","5.87","5.92","1,640,180"
10/10/1996,"5.92","5.92","5.87","5.92","812,574"
10/09/1996,"5.89","5.89","5.77","5.89","3,900,021"
10/08/1996,"5.89","5.89","5.87","5.89","2,554,639"
10/07/1996,"5.89","5.92","5.87","5.89","3,399,782"
10/04/1996,"5.84","5.96","5.80","5.84","2,276,543"
10/03/1996,"5.94","5.99","5.89","5.94","3,267,833"
10/02/1996,"5.89","5.94","5.89","5.89","1,832,258"
10/01/1996,"5.92","5.96","5.92","5.92","752,445"
09/30/1996,"5.96","6.05","5.92","5.96","3,074,085"
09/27/1996,"5.92","5.92","5.89","5.92","1,818,061"
09/26/1996,"5.89","5.92","5.87","5.89","1,316,988"
09/25/1996,"5.92","5.96","5.82","5.92","3,890,834"
09/24/1996,"5.82","5.84","5.80","5.82","1,632,664"
09/23/1996,"5.82","5.82","5.80","5.82","1,060,605"
09/20/1996,"5.82","5.84","5.80","5.82","3,099,138"
09/19/1996,"5.80","5.84","5.75","5.80","1,325,339"
09/18/1996,"5.80","5.84","5.80","5.80","2,657,359"
09/17/1996,"5.80","5.80","5.75","5.80","3,542,588"
09/16/1996,"5.75","5.77","5.70","5.75","3,670,362"
09/13/1996,"5.68","5.70","5.65","5.68","800,047"
09/12/1996,"5.70","5.72","5.70","5.70","1,225,124"
09/11/1996,"5.72","5.72","5.70","5.72","988,785"
09/10/1996,"5.75","5.75","5.65","5.75","3,279,525"
09/09/1996,"5.63","5.68","5.60","5.63","563,707"
09/06/1996,"5.68","5.70","5.68","5.68","1,515,747"
09/05/1996,"5.65","5.70","5.60","5.65","1,175,017"
09/04/1996,"5.63","5.65","5.51","5.63","2,450,248"
09/03/1996,"5.48","5.58","5.48","5.48","3,691,240"
09/02/1996,"5.58","5.68","5.58","5.58","1,190,049"
08/30/1996,"5.68","5.70","5.63","5.68","2,096,992"
08/29/1996,"5.72","5.77","5.70","5.72","1,350,393"
08/28/1996,"5.75","5.84","5.70","5.75","2,173,823"
08/27/1996,"5.75","5.75","5.72","5.75","1,612,621"
08/26/1996,"5.75","5.80","5.75","5.75","1,836,434"
08/23/1996,"5.75","5.77","5.70","5.75","11,173,935"
08/22/1996,"5.70","5.72","5.63","5.70","10,593,525"
08/21/1996,"5.72","5.75","5.44","5.72","38,883,289"
08/19/1996,"5.39","5.46","5.32","5.39","6,969,095"
08/16/1996,"5.41","5.41","5.41","5.41","1,833,093"
08/15/1996,"5.44","5.44","5.41","5.44","3,737,172"
08/14/1996,"5.48","5.53","5.48","5.48","9,904,549"
08/13/1996,"5.48","5.51","5.46","5.48","4,618,226"
08/12/1996,"5.46","5.46","5.44","5.46","2,346,693"
08/09/1996,"5.48","5.48","5.41","5.48","9,194,695"
08/08/1996,"5.41","5.41","5.39","5.41","7,161,173"
08/07/1996,"5.39","5.41","5.29","5.39","13,645,897"
08/06/1996,"5.36","5.48","5.34","5.36","5,449,172"
08/05/1996,"5.48","5.56","5.24","5.48","17,266,151"
08/02/1996,"5.24","5.34","5.20","5.24","17,312,083"
08/01/1996,"5.24","5.29","5.05","5.24","24,719,617"
07/31/1996,"5.10","5.12","4.98","5.10","29,450,584"
07/30/1996,"5.01","5.27","4.98","5.01","42,950,334"
07/26/1996,"5.27","5.39","5.27","5.27","27,442,115"
07/25/1996,"5.32","5.48","5.32","5.32","23,984,709"
07/24/1996,"5.48","5.65","5.48","5.48","37,985,533"
07/23/1996,"5.63","5.63","5.58","5.63","28,916,106"
07/22/1996,"5.63","5.70","5.63","5.63","27,726,057"
07/19/1996,"5.70","5.75","5.70","5.70","17,570,971"
07/18/1996,"5.72","5.75","5.70","5.72","11,938,072"
07/17/1996,"5.72","5.75","5.70","5.72","13,750,287"
07/16/1996,"5.72","5.77","5.70","5.72","8,267,710"
07/15/1996,"5.80","5.84","5.80","5.80","3,315,435"
07/12/1996,"5.84","5.94","5.84","5.84","5,520,158"
07/11/1996,"5.84","5.84","5.82","5.84","5,106,772"
07/10/1996,"5.84","5.87","5.80","5.84","9,461,934"
07/09/1996,"5.87","5.89","5.75","5.87","11,633,252"
07/08/1996,"5.77","5.89","5.70","5.77","14,618,814"
07/05/1996,"5.89","5.92","5.84","5.89","10,944,276"
07/04/1996,"5.84","5.87","5.72","5.84","23,166,289"
07/03/1996,"5.72","5.72","5.72","5.72","3,503,338"
07/02/1996,"5.72","5.77","5.72","5.72","7,787,514"
07/01/1996,"5.75","5.77","5.72","5.75","12,393,213"
06/28/1996,"5.75","5.84","5.72","5.75","6,497,251"
06/27/1996,"5.77","5.77","5.70","5.77","7,774,988"
06/26/1996,"5.70","5.80","5.68","5.70","28,085,159"
06/25/1996,"5.82","5.82","5.77","5.82","6,639,221"
06/24/1996,"5.80","5.87","5.80","5.80","7,495,222"
06/21/1996,"5.82","5.87","5.82","5.82","11,307,554"
06/20/1996,"5.82","5.82","5.72","5.82","9,123,710"
06/19/1996,"5.70","5.72","5.70","5.70","12,652,101"
06/18/1996,"5.70","5.77","5.70","5.70","5,971,124"
06/17/1996,"5.80","5.80","5.65","5.80","4,112,977"
06/14/1996,"5.65","5.70","5.65","5.65","12,556,062"
06/13/1996,"5.75","5.75","5.65","5.75","12,505,955"
06/12/1996,"5.70","5.82","5.68","5.70","8,234,305"
06/11/1996,"5.82","5.84","5.77","5.82","8,413,856"
06/10/1996,"5.80","5.82","5.75","5.80","9,290,734"
06/07/1996,"5.77","5.84","5.77","5.77","7,119,417"
06/06/1996,"5.82","5.82","5.75","5.82","11,871,262"
06/05/1996,"5.75","5.80","5.68","5.75","13,796,219"
06/04/1996,"5.70","5.72","5.68","5.70","10,785,603"
06/03/1996,"5.68","5.68","5.63","5.68","18,953,098"
05/30/1996,"5.68","5.72","5.65","5.68","14,844,297"
05/29/1996,"5.72","5.80","5.68","5.72","12,526,833"
05/28/1996,"5.77","5.80","5.65","5.77","7,774,988"
05/27/1996,"5.65","5.77","5.65","5.65","1,916,605"
05/24/1996,"5.77","5.77","5.65","5.77","12,940,218"
05/23/1996,"5.68","5.68","5.65","5.68","8,756,256"
05/22/1996,"5.63","5.65","5.63","5.63","16,213,897"
05/21/1996,"5.65","5.72","5.65","5.65","13,457,994"
05/17/1996,"5.70","5.70","5.65","5.70","6,739,436"
05/16/1996,"5.63","5.65","5.63","5.63","14,288,941"
05/15/1996,"5.63","5.68","5.63","5.63","15,270,209"
05/14/1996,"5.68","5.70","5.65","5.68","12,130,150"
05/13/1996,"5.70","5.75","5.63","5.70","17,733,820"
05/10/1996,"5.60","5.65","5.60","5.60","21,500,221"
05/09/1996,"5.60","5.65","5.60","5.60","22,093,157"
05/08/1996,"5.60","5.65","5.60","5.60","26,435,793"
05/07/1996,"5.65","5.68","5.65","5.65","17,779,751"
05/06/1996,"5.65","5.70","5.63","5.65","20,456,318"
05/03/1996,"5.72","5.77","5.72","5.72","10,033,993"
05/02/1996,"5.77","5.84","5.75","5.77","13,119,770"
04/30/1996,"5.82","5.82","5.75","5.82","14,030,053"
04/26/1996,"5.80","5.80","5.70","5.80","8,806,363"
04/25/1996,"5.70","5.72","5.68","5.70","7,975,417"
04/24/1996,"5.68","5.68","5.65","5.68","11,616,550"
04/23/1996,"5.68","5.68","5.65","5.68","11,604,023"
04/22/1996,"5.65","5.68","5.63","5.65","16,781,780"
04/19/1996,"5.68","5.72","5.68","5.68","9,691,593"
04/18/1996,"5.68","5.70","5.65","5.68","15,650,190"
04/17/1996,"5.63","5.65","5.63","5.63","13,395,360"
04/16/1996,"5.65","5.68","5.65","5.65","15,637,663"
04/15/1996,"5.65","5.70","5.65","5.65","21,291,440"
04/12/1996,"5.68","5.68","5.65","5.68","18,573,117"
04/11/1996,"5.68","5.68","5.63","5.68","15,529,097"
04/10/1996,"5.68","5.70","5.63","5.68","28,511,072"
04/09/1996,"5.63","5.68","5.63","5.63","12,894,287"
04/08/1996,"5.63","5.68","5.58","5.63","16,731,673"
04/05/1996,"5.68","5.68","5.65","5.68","1,649,366"
