Description,Monthly_Installment,List_Price,Model,Milleage,Gear_Type,Location
2016/2020 Mercedes-Benz A180 1.6 AMG Hatchback - Turbo A45 Bodykit (BLIS PRE-CRASH)(Keyless Entry)(1 Year Warranty),"RM 1,295 / month","RM 99,888",Mercedes-Benz A180,70 - 75K KM,Automatic,"Selangor, Seri Kembangan"
2013/2014 Mitsubishi Triton 2.5 VGT Dual Cab Pickup Truck - (A) VGT CBU Unit,RM 581 / month,"RM 44,800",Mitsubishi Triton,140 - 145K KM,Automatic,"Penang, Sungai Nibong"
2019 Mercedes-Benz GLA200 1.6 Night Edition SUV - AMG GLA 200 FULL SERVICE RECORD C C,"RM 1,774 / month","RM 136,800",Mercedes-Benz GLA200,85 - 90K KM,Automatic,"Selangor, Seri Kembangan"
2018 Mercedes-Benz C180 1.6 Avantgarde Sedan - AMG W205 FSR,"RM 1,503 / month","RM 115,900",Mercedes-Benz C180,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
"2016 Nissan X-Trail 2.5 4WD SUV - , FULL SPEC , 360 CAMERA , FULL LEATHER SEAT , ONE OWNER",RM 557 / month,"RM 42,999",Nissan X-Trail,90 - 95K KM,Automatic,"Selangor, Puchong"
"2014/2015 Kia Rio 1.4 EX Hatchback - SX ,reverse camera, sunroof ,navigation , full spec",RM 298 / month,"RM 22,999",Kia Rio,75 - 80K KM,Automatic,"Kuala Lumpur, Jalan Puchong"
"2012 BMW 528i 2.0 M Sport Sedan - March (A) F10 Petrol Twin Power Turbo, Original High Spec. CKD local Brand New by MALAYSIA",RM 853 / month,"RM 65,800",BMW 528i,105 - 110K KM,Automatic,"Penang, Georgetown"
2020 Toyota GR Supra 3.0 388 PS Coupe - RZ GR JBL sound Toms Throttle system Carbon Spoiler Carbon side mirror Carbon side moulding,"RM 4,276 / month","RM 329,800",N/A,15 - 20K KM,Automatic,"Selangor, Puchong"
2018/2019 Mercedes-Benz C43 AMG 3.0 4MATIC Sedan - (A) 3 YEARS WARRANTY CASH BACK High Loan 6 months free installment GUARANTEE No Accident,"RM 2,772 / month","RM 213,800",Mercedes-Benz C43 AMG,40 - 45K KM,Automatic,"Kuala Lumpur, Setapak"
"2015 BMW 428i 2.0 M Sport Coupe - , FREE 1 YEAR WARRANTY , 47K ORI LOW MILEAGE , FULL SERVICE RECORD , PADDLE SHIFT , NAVIGATION 1 OWNER ONLY","RM 1,761 / month","RM 135,800",BMW 428i,45 - 50K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Inokom Santa Fe 2.2 CRDi Executive Plus SUV - WARRANTY 1 OWNER,RM 464 / month,"RM 35,800",N/A,95 - 100K KM,Automatic,"Kuala Lumpur, Cheras"
2020 Mazda CX-5 2.0 SKYACTIV-G High SUV - POWER BOOT,"RM 1,372 / month","RM 105,800",Mazda CX-5,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Mercedes-Benz A200 1.6 AMG line Hatchback - WARRANTY 1 OWNER,"RM 1,320 / month","RM 101,800",Mercedes-Benz A200,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras"
2019 BMW 330e 2.0 M Sport Sedan - SUN ROOF 1 OWNER F30,"RM 1,216 / month","RM 93,800",BMW 330e,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Toyota Innova 2.0 G MPV - FULL SERVICE RECORD 7 SEAT,RM 931 / month,"RM 71,800",Toyota Innova,95 - 100K KM,Automatic,"Kuala Lumpur, Cheras"
2017 BMW 330e 2.0 M Sport Sedan - FULL SERVICE RECORD NAVIGATION PADDLE SHIFT POWER ADJUST SEAT,RM 957 / month,"RM 73,800",BMW 330e,110 - 115K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Mercedes-Benz C350 e 2.0 AMG Line Sedan - C350E AIRMATIC PADDLE SHIFT POWER BOOT 1 OWNER,"RM 1,436 / month","RM 110,800",Mercedes-Benz C350 e,135 - 140K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Hyundai Grand Starex 2.5 Royale GLS MPV - 12 SEATERS FULL LEATHER SEAT REAR PASSENGER MONITOR,RM 866 / month,"RM 66,800",Hyundai Grand Starex,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Inokom Santa Fe 2.2 CRDi Premium SUV - HYUNDAI 4WD SUN MOON ROOF 7 SEATERS KEYLESS PUSHSTART POWER ADJUST SEAT L R REVERSE CAM DASH CAM,RM 464 / month,"RM 35,800",N/A,110 - 115K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Toyota Camry 2.5 Hybrid Luxury Sedan - PREMIUM BLIND SPOT MONITOR KEYLESS PUSHSTART,RM 996 / month,"RM 76,800",Toyota Camry,110 - 115K KM,Automatic,"Kuala Lumpur, Cheras"
2014 BMW 520i 2.0 Sedan - (A)FACELIFT HEADLIGHT DIGITAL METER FULL SERVICE RECORD,RM 957 / month,"RM 73,800",BMW 520i,130 - 135K KM,Automatic,"Selangor, Cheras"
2019 Honda City 1.5 E i-VTEC Sedan - FULL SERVICE RECORD PADDLE SHIFT ECON MODE FULL BODY KIT,RM 736 / month,"RM 56,800",Honda City,50 - 55K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Honda Civic 1.8 S i-VTEC Sedan,RM 996 / month,"RM 76,800",Honda Civic,90 - 95K KM,Automatic,"Penang, Greenlane"
2015 Honda HR-V 1.8 i-VTEC V SUV - RAYA PROMO HIGH REBATE L AUTO,RM 659 / month,"RM 50,800",Honda HR-V,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2016 Mazda CX-5 2.5 SKYACTIV-G GLS SUV - L AUTO,RM 853 / month,"RM 65,800",Mazda CX-5,80 - 85K KM,Automatic,"Selangor, Petaling Jaya"
2016 Honda CR-V 2.0 i-VTEC SUV - L AUTO (FACELIFT MODEL HIGH SPEC),RM 827 / month,"RM 63,800",Honda CR-V,90 - 95K KM,Automatic,"Selangor, Petaling Jaya"
"2019/2020 Mercedes-Benz GLA200 1.6 Style SUV - REGISTER 2020, FULL SERVICE RECORD, KEYLESS PUSH START DYNAMIC SELECT, 7G-DCT DUAL CLUTH, RAYA SALE OFFER","RM 1,789 / month","RM 137,999",Mercedes-Benz GLA200,60 - 65K KM,Automatic,"Selangor, Puchong"
"2016/2020 Mercedes-Benz CLA250 2.0 4MATIC Coupe - HARMAN KARDON CBU IMPORT FROM JAPAN, CAR KING","RM 1,595 / month","RM 122,999",Mercedes-Benz CLA250,80 - 85K KM,Automatic,"Selangor, Puchong"
"2018/2019 Mercedes-Benz GLC200 2.0 Exclusive SUV - GLC63 BODYKITS, KEYLESS PUSH START , POWER BOOT, KING RAYA SALES","RM 1,945 / month","RM 149,999",N/A,80 - 85K KM,Automatic,"Selangor, Puchong"
"2016/2019 Mercedes-Benz C300 2.0 Coupe - PANORAMIC SUNROOF, BURMESTER SOUND SYSTEM, CAR KING AMG LINE,","RM 2,204 / month","RM 169,999",Mercedes-Benz C300,70 - 75K KM,Automatic,"Selangor, Puchong"
2014 Audi Q5 2.0 TFSI Quattro SUV - (A) TFSI NEW FACELIFT QUATTRO FREE 1 YEAR WARRANTY,RM 659 / month,"RM 50,800",Audi Q5,110 - 115K KM,Automatic,"Kuala Lumpur, Cheras"
2016/2017 Mercedes-Benz C300 2.0 Avantgarde AMG Line Sedan - Mercedes Benz (A) W205 AMG LINE AVANTGARDE F SERVICE RECORD,"RM 1,762 / month","RM 135,900",Mercedes-Benz C300,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Mitsubishi Triton 2.4 VGT Adventure X Dual Cab Pickup Truck - PADDLE SHIFT ELECTRIC SEAT WARRANTY 4X4,RM 996 / month,"RM 76,800",Mitsubishi Triton,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Peugeot 3008 1.6 SUV - THP FACELIFT (A) NO PROCESSING CHARGE 1 OWNER,RM 334 / month,"RM 25,800",Peugeot 3008,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras"
2014 MINI Countryman 1.6 Cooper S ALL4 SUV - (A) 1 OWNER NO PROCESSING CHARGE,RM 879 / month,"RM 67,800",MINI Countryman,110 - 115K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Toyota Rush 1.5 S SUV - FACELIFT (A) NO PROCESSING CHARGE 1 OWNER,RM 386 / month,"RM 29,800",Toyota Rush,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Inokom Elantra 1.8 Premium Sedan - (A) NO PROCESSING CHARGE 1 OWNER,RM 334 / month,"RM 25,800",N/A,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Audi A4 2.0 TFSI Quattro S Line Sedan - (A) NO PROCESSING CHARGE 1 OWNER,"RM 1,423 / month","RM 109,800",Audi A4,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Toyota Prius C 1.5 Hybrid Hatchback,RM 373 / month,"RM 28,800",Toyota Prius C,135 - 140K KM,Automatic,"Penang, Simpang Ampat"
"2017 BMW 530i 2.0 M Sport Sedan - G30 - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 2,059 / month","RM 158,800",BMW 530i,90 - 95K KM,Automatic,"Penang, Sungai Nibong"
"2016 BMW 318i 1.5 Luxury Sedan - REMARK-1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 905 / month,"RM 69,800",BMW 318i,95 - 100K KM,Automatic,"Penang, Sungai Nibong"
"2019 BMW X3 2.0 xDrive30i Luxury SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,201 / month","RM 169,800",BMW X3,80 - 85K KM,Automatic,"Penang, Bukit Mertajam"
2013 Mercedes-Benz B200 1.6 Sport Tourer Hatchback - (A) 1 YEAR WARRANTY,RM 622 / month,"RM 48,000",Mercedes-Benz B200,125 - 130K KM,Automatic,"Penang, Greenlane"
"2015/2016 Honda HR-V 1.8 i-VTEC V SUV - (A) One Owner , Full Service Record Under",RM 710 / month,"RM 54,800",Honda HR-V,110 - 115K KM,Automatic,"Selangor, Kajang"
2017 Toyota Vios 1.5 E Sedan - (A) 1 YEAR WARRANTY,RM 661 / month,"RM 51,000",Toyota Vios,70 - 75K KM,Automatic,"Penang, Ayer Itam"
2014 BMW 528i 2.0 M Sport Sedan - GENUINE 98K KM MILEAGE,"RM 1,271 / month","RM 98,000",BMW 528i,95 - 100K KM,Automatic,"Penang, USM Pulau Pinang"
2013 Audi A4 2.0 TFSI Quattro S Line Sedan - T (A) SUPER GOOD CONDITION 1 YEAR WARRANTY 90K KM ONLY,RM 646 / month,"RM 49,800",Audi A4,95 - 100K KM,Automatic,"Kuala Lumpur, Sungai Besi"
"2013 Mercedes-Benz C200 CGI 1.8 Avantgarde Sedan - (A) AMG LINE Sterling, 1 YEAR WARRANTY SPORTY",RM 581 / month,"RM 44,800",N/A,145 - 150K KM,Automatic,"Kuala Lumpur, Sungai Besi"
2016 Mercedes-Benz E200 2.0 Avantgarde Sedan,"RM 1,838 / month","RM 141,800",Mercedes-Benz E200,85 - 90K KM,Automatic,"Johor, Johor Bahru"
"2017 Mercedes-Benz C350 e 2.0 Avantgarde AMG Line interior Sedan - Avantgarde AMG (A) Full Service Mercedes Benz , Nice Number Plate 2822 ,79k Mileage Call Now C350E","RM 1,255 / month","RM 96,800",Mercedes-Benz C350 e,75 - 80K KM,Automatic,"Selangor, Puchong"
"2016/2017 Mercedes-Benz CLA180 1.6 AMG Coupe - CLA 180 , Facelife, One Year Warranty, Call Now","RM 1,618 / month","RM 124,800",Mercedes-Benz CLA180,105 - 110K KM,Automatic,"Selangor, Puchong"
"2018 BMW 330e 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,164 / month","RM 89,800",BMW 330e,110 - 115K KM,Automatic,"Penang, Bukit Mertajam"
"2015 Mercedes-Benz CLA200 1.6 Coupe - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,346 / month","RM 103,800",Mercedes-Benz CLA200,105 - 110K KM,Automatic,"Penang, Bukit Mertajam"
"2017 Mazda CX-5 2.0 SKYACTIV-G GL SUV - SKYACTIV-G (A) 1 YEAR WARRANTY, PREMIUM SELECTION",RM 905 / month,"RM 69,800",Mazda CX-5,100 - 105K KM,Automatic,"Penang, Bukit Mertajam"
"2017 BMW 530i 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,059 / month","RM 158,800",BMW 530i,105 - 110K KM,Automatic,"Penang, Bukit Mertajam"
"2017 Honda Accord 2.0 i-VTEC VTi-L Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,073 / month","RM 82,800",Honda Accord,140 - 145K KM,Automatic,"Penang, Bukit Mertajam"
"2018 BMW X3 2.0 xDrive30i Luxury SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,890 / month","RM 145,800",BMW X3,145 - 150K KM,Automatic,"Penang, Bukit Mertajam"
"2019 BMW 330i 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,461 / month","RM 189,800",BMW 330i,70 - 75K KM,Automatic,"Penang, Bukit Mertajam"
"2019 BMW 520i 2.0 Luxury Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,461 / month","RM 189,800",BMW 520i,75 - 80K KM,Automatic,"Penang, Bukit Mertajam"
2014 Mercedes-Benz C250 2.0 AMG Sedan - FACELIFT - SUNROOF -NAPPA LEATHER SEAT -PREMIUM SOUND SYSTEM- FREE 2YEAR WARRANTY(PREMIUM)- FULL SERVICE RECORD,"RM 1,425 / month","RM 109,888",Mercedes-Benz C250,105 - 110K KM,Automatic,"Kuala Lumpur, Salak Selatan"
2020 Toyota GR Supra 2.0 SZ-R Coupe - (A) 1 YEAR WARRANTY,"RM 3,474 / month","RM 268,000",N/A,55 - 60K KM,Automatic,"Penang, Greenlane"
2014 Toyota Vios 1.5 E Sedan - (A) 1 YEAR WARRANTY,RM 477 / month,"RM 36,800",Toyota Vios,90 - 95K KM,Automatic,"Penang, Georgetown"
2013 Kia Cerato 1.6 Sedan - (A) ELECTRIC MEMORY SEAT KEYLESS PUSH START PADDLE SHIFT,RM 347 / month,"RM 26,800",Kia Cerato,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Nissan Navara 2.5 NP300 VL Dual Cab Pickup Truck - (A) VL NP300 4WD KEYLESS PUSH START ELECTRIC LEATHER SEAT,RM 944 / month,"RM 72,800",Nissan Navara,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Nissan Serena 2.0 S-Hybrid High-Way Star MPV - FULL LEATHER SEAT PUSH START,RM 672 / month,"RM 51,800",Nissan Serena,135 - 140K KM,Automatic,"Kuala Lumpur, Cheras"
"2015 Nissan Teana 2.0 XL Sedan - , TIPTOP CONDITION, FULL SPEC , WARRANTY PROVIDED, BEST TO BUY",RM 596 / month,"RM 45,999",Nissan Teana,70 - 75K KM,Automatic,"Selangor, Puchong"
2020/2021 BMW X6 3.0 xDrive40i M Sport SUV - (A) GUARANTEE No Accident No Total Lost No Flood 5 Days Money back Guarantee,"RM 6,985 / month","RM 538,800",BMW X6,15 - 20K KM,Automatic,"Kuala Lumpur, Setapak"
2021 Toyota Harrier 2.0 SUV - Z Leather Full Spec Grade 5 A Like New Perfect Condition,"RM 2,697 / month","RM 208,000",Toyota Harrier,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2020 Audi Q7 3.0 TFSI Quattro SUV - 55 TFSI S-Line Quattro Unregistered with 3 Years Warranty,"RM 5,678 / month","RM 438,000",Audi Q7,25 - 30K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2020 Audi Q7 3.0 TFSI Quattro SUV - 55 S-Line Unregistered with 3 Years Warranty,"RM 5,678 / month","RM 438,000",Audi Q7,40 - 45K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2013 Honda Accord 2.4 i-VTEC VTi-L Sedan - W ONE Year Warranty,RM 646 / month,"RM 49,800",Honda Accord,115 - 120K KM,Automatic,"Penang, Sungai Nibong"
2017 Land Rover Range Rover 5.0 Supercharged Vogue SE SUV - LWB Vogue Autobiography Massage Seats Meridian Sound System,"RM 8,427 / month","RM 650,000",N/A,45 - 50K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2017 Honda Civic 1.8 S i-VTEC Sedan - Full Bodykit Full service record FREE INSURANCE,RM 944 / month,"RM 72,800",Honda Civic,130 - 135K KM,Automatic,"Selangor, Kajang"
2013 Volkswagen Passat 1.8 TSI Sedan - FULL BODYKIT HIGH SPEC FREE INSURANCE,RM 334 / month,"RM 25,800",Volkswagen Passat,75 - 80K KM,Automatic,"Selangor, Kajang"
"2014/2016 Toyota Harrier 2.0 Premium Modellista SUV - MODELLISTA BODYKIT, SUNROOF, POWER BOOT, 2 TONE LEATHER SEAT RAYA SALE","RM 1,206 / month","RM 92,999",Toyota Harrier,85 - 90K KM,Automatic,"Selangor, Puchong"
"2018 BMW X3 2.0 xDrive30i Luxury SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,072 / month","RM 159,800",BMW X3,55 - 60K KM,Automatic,"Penang, Bukit Mertajam"
"2016 BMW 318i 1.5 Luxury Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION",RM 905 / month,"RM 69,800",BMW 318i,95 - 100K KM,Automatic,"Penang, Bukit Mertajam"
2016 Mazda CX-3 2.0 SKYACTIV SUV - NO PROCESSING CHARGE,RM 801 / month,"RM 61,800",Mazda CX-3,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Volvo XC90 2.0 T8 SUV - Full Service Record 1 YEAR WARRANTY,"RM 1,814 / month","RM 139,900",Volvo XC90,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
2013 MINI Countryman 1.6 Cooper S ALL4 SUV - (A) 1 YEAR WARRANTY,RM 853 / month,"RM 65,800",MINI Countryman,95 - 100K KM,Automatic,"Penang, Bukit Mertajam"
2015 Honda Jazz 1.5 V i-VTEC Hatchback - (A) 1 YEAR WARRANTY,RM 672 / month,"RM 51,800",Honda Jazz,85 - 90K KM,Automatic,"Penang, Bukit Mertajam"
2017 Honda Civic 1.8 S i-VTEC Sedan - (A) 1 YEAR WARRANTY,RM 983 / month,"RM 75,800",Honda Civic,90 - 95K KM,Automatic,"Penang, Bukit Mertajam"
"2018 Perodua AXIA 1.0 G Hatchback - (A) FACELIFT, 1 YEAR WARRANTY",RM 360 / month,"RM 27,800",Perodua AXIA,145 - 150K KM,Automatic,"Penang, Bukit Mertajam"
2019 MINI 3 Door 2.0 John Cooper Works Hatchback - (A) 1 YEAR WARRANTY,"RM 2,318 / month","RM 178,800",MINI 3 Door,40 - 45K KM,Automatic,"Penang, Bukit Mertajam"
2016 Honda HR-V 1.8 i-VTEC E SUV - (A) 1 YEAR WARRANTY,RM 736 / month,"RM 56,800",Honda HR-V,75 - 80K KM,Automatic,"Penang, Bukit Mertajam"
2014 Honda Jazz 1.5 V i-VTEC Hatchback - (A),RM 646 / month,"RM 49,800",Honda Jazz,95 - 100K KM,Automatic,"Penang, Bukit Mertajam"
2015 Toyota Corolla Altis 1.8 G Sedan - (A),RM 723 / month,"RM 55,800",Toyota Corolla Altis,90 - 95K KM,Automatic,"Penang, Bukit Mertajam"
2020 Proton Iriz 1.6 Premium Hatchback - (A),RM 464 / month,"RM 35,800",Proton Iriz,55 - 60K KM,Automatic,"Penang, Bukit Mertajam"
2014 Toyota Vios 1.5 E Sedan - (A),RM 516 / month,"RM 39,800",Toyota Vios,130 - 135K KM,Automatic,"Penang, Bukit Mertajam"
"2015 BMW X3 2.0 xDrive20i SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION",RM 983 / month,"RM 75,800",BMW X3,140 - 145K KM,Automatic,"Penang, Bukit Mertajam"
2016 Honda Accord 2.0 i-VTEC VTi-L Sedan - (A) 1 YEAR WARRANTY,"RM 1,022 / month","RM 78,800",Honda Accord,105 - 110K KM,Automatic,"Penang, Ayer Itam"
2019 Honda HR-V 1.8 i-VTEC V SUV - (A) 1 YEAR WARRANTY,"RM 1,083 / month","RM 83,500",Honda HR-V,30 - 35K KM,Automatic,"Penang, Greenlane"
2017 Toyota Hilux 2.4 Limited G Dual Cab Pickup Truck - Limited G (A) 1 YEAR WARRANTY,"RM 1,217 / month","RM 93,888",Toyota Hilux,50 - 55K KM,Automatic,"Penang, Greenlane"
2013 Peugeot 408 2.0 Sedan - CASH OTR (A),RM 140 / month,"RM 10,800",Peugeot 408,100 - 105K KM,Automatic,"Selangor, Klang"
2014 Honda Civic 1.5 i-VTEC Hybrid Sedan - (A) WARRANTY 1 YEAR - ALL PROBLEM CAN APPLY LOAN HERE - SEMUA MASALAH BOLEH BUAT LOAN KEDAI SINI,RM 322 / month,"RM 24,800",Honda Civic,125 - 130K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2019 Nissan Serena 2.0 S-Hybrid High-Way Star MPV - S-HYBRID HIGH WAY (A ) 7 SEATER LOW MILEAGE 68K KEYLESS ENTRY 2 POWER DOOR 360 CAMERA SPORT FOG LIGHT GOOD CONDITION,"RM 1,165 / month","RM 89,900",Nissan Serena,68476 KM,Automatic,"Selangor, Kajang"
2013 Mercedes-Benz E250 2.0 Avantgarde Sedan - MERCEDES BENZ (A) CKD WITH PANORAMIC SUNROOF - YEAR MADE FSR MERCEDES MALAYSIA KEYLESS ENTRY CARLIST QUALIFIED CAR,"RM 1,060 / month","RM 81,800",Mercedes-Benz E250,120 - 125K KM,Automatic,"Selangor, Kajang"
2014 BMW X1 2.0 xDrive20d SUV - DIESEL - YEAR MADE LOW MILEAGE 79K KM CARLIST QUALIFIED INSPECTED CAR TURBOCHARGED DIESEL N47T ENGINE,RM 710 / month,"RM 54,800",BMW X1,75 - 80K KM,Automatic,"Selangor, Kajang"
2008 Nissan Grand Livina 1.6 Luxury MPV - F LEATHER SEAT IMPUL 2 BODYKIT BEST DEAL Carlist Qualified Inspected Car CASH BUYER ONLY SELL UNDER MKT VALUE,RM 218 / month,"RM 16,800",Nissan Grand Livina,135 - 140K KM,Automatic,"Selangor, Kajang"
2010/2014 Mercedes-Benz C250 CGI 1.8 AMG Sport Sedan - MERCEDES BENZ C250 (UK SPEC) - REG YEAR 2014 SPORTY BLACK LEATHER SEATS CARLIST QUALIFIED 1 YR WARRANTY MAJOR ACCIDENT FLOOD FREE MAXLOAN,RM 465 / month,"RM 35,900",N/A,145 - 150K KM,Automatic,"Selangor, Kajang"
2014 BMW 320i 2.0 Sports Edition Sedan - F30 SPORT EDITION - YOM 1 YEAR WARRANTY ON ENGINE GEAR BOX AUTO BAVARIA HISTORY COME W BRIDGESTONE RUNFLAT TYRE MAX LOAN,RM 814 / month,"RM 62,800",BMW 320i,110 - 115K KM,Automatic,"Selangor, Kajang"
2012 Volvo S60 1.6 T4 Sedan - (A) PREMIUM TURBO LUXURY HIGH SPEC VERSION 2.0,RM 297 / month,"RM 22,900",Volvo S60,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras"
2015/2016 Mercedes-Benz A45 AMG 2.0 4MATIC Hatchback - Mercedes Benz A45 (A) CBU AMG RECARO SEAT LIMITED EDITION 1,"RM 1,851 / month","RM 142,800",Mercedes-Benz A45 AMG,95 - 100K KM,Automatic,"Kuala Lumpur, Cheras"
2014/2015 Mercedes-Benz A250 2.0 Sport Hatchback - Mercedes Benz (A) CBU AMG S LIMITED EDITION,"RM 1,022 / month","RM 78,800",Mercedes-Benz A250,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Mercedes-Benz C200 2.0 Avantgarde Sedan - Mercedes Benz (A) W205 BLACK INTERIOR,"RM 1,294 / month","RM 99,800",Mercedes-Benz C200,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Honda City 1.5 V i-VTEC Sedan - (A) 1 YEAR WARRANTY,RM 788 / month,"RM 60,800",Honda City,100 - 105K KM,Automatic,"Penang, Bukit Mertajam"
2013 Ford Ranger 3.2 Wildtrak Dual Cab Pickup Truck - Wildtrak ELECTRIC SEAT FULL SPEC FREE INSURANCE,RM 568 / month,"RM 43,800",Ford Ranger,125 - 130K KM,Automatic,"Selangor, Kajang"
2016 Citroen C4 Picasso 1.6 L3 Executive MPV - CONFIRM POWERBOOT 1YR WARRANTY,RM 568 / month,"RM 43,800",N/A,65 - 70K KM,Automatic,"Selangor, Kajang"
2015 Toyota Vellfire 2.5 V MPV - (A) ZG PILOT SEAT 7Seat,"RM 2,162 / month","RM 166,800",Toyota Vellfire,85 - 90K KM,Automatic,"Selangor, Serdang"
2017 Mitsubishi Triton 2.5 Dual Cab Pickup Truck - 4X4 (M) 4WD,RM 672 / month,"RM 51,800",Mitsubishi Triton,60 - 65K KM,Manual,"Selangor, Serdang"
2013 Volkswagen Golf 2.0 GTi Advanced Hatchback - HIGH SPEC LEATHER SEAT SPORT MODE MK7 GTI FREE INSURANCE,"RM 1,060 / month","RM 81,800",Volkswagen Golf,75 - 80K KM,Automatic,"Selangor, Kajang"
2018 Mazda CX-5 2.2 SKYACTIV-D GLS SUV - (A) 2WD 1 Owner Low Mileage Service Record,"RM 1,164 / month","RM 89,800",Mazda CX-5,70 - 75K KM,Automatic,"Penang, Greenlane"
2016 Subaru Forester 2.0 P SUV - I LeatherSeat FACELIFT DAYLIGHT LED FREE INSURANCE,RM 555 / month,"RM 42,800",Subaru Forester,85 - 90K KM,Automatic,"Selangor, Kajang"
2014 Subaru XV 2.0 SUV - PREMIUM (A) 1 YEAR WARRANTY,RM 477 / month,"RM 36,800",Subaru XV,95 - 100K KM,Automatic,"Penang, Bukit Mertajam"
2018 Honda CR-V 2.0 i-VTEC SUV - (A) 1 YEAR WARRANTY,"RM 1,242 / month","RM 95,800",Honda CR-V,60 - 65K KM,Automatic,"Penang, Bukit Mertajam"
2015 Honda CR-V 2.0 i-VTEC SUV - (A) 1 YEAR WARRANTY,RM 762 / month,"RM 58,800",Honda CR-V,130 - 135K KM,Automatic,"Penang, Bukit Mertajam"
2016 Perodua Myvi 1.5 SE Hatchback - (A),RM 451 / month,"RM 34,800",Perodua Myvi,95 - 100K KM,Automatic,"Penang, Bukit Mertajam"
"2015 Mercedes-Benz GLA250 2.0 4MATIC SUV - (A) CBU, 1 YEAR WARRANTY","RM 1,436 / month","RM 110,800",Mercedes-Benz GLA250,80 - 85K KM,Automatic,"Penang, Bukit Mertajam"
2016 Volvo V40 Cross Country 2.0 T5 Hatchback - FACELIFT FULL SERVICE RECORD,RM 801 / month,"RM 61,800",N/A,80 - 85K KM,Automatic,"Kuala Lumpur, Sungai Besi"
2013 Kia Cerato 2.0 Sedan - (A)NO PROCESSING CHARGE,RM 373 / month,"RM 28,800",Kia Cerato,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras"
2014 BMW X5 3.0 xDrive35i SUV,"RM 1,411 / month","RM 108,800",BMW X5,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2015 Mercedes-Benz GLA200 1.6 SUV - (A) 1 YEAR INSPECTION WITH CERTIFIED INSPECTION REPORT,"RM 1,277 / month","RM 98,500",Mercedes-Benz GLA200,80 - 85K KM,Automatic,"Penang, Greenlane"
2015/2016 Peugeot 5008 1.6 MPV - THP PANORAMIC ROOF LEATHER SEAT TIPTOP CONDITION,RM 360 / month,"RM 27,800",Peugeot 5008,135 - 140K KM,Automatic,"Kuala Lumpur, Cheras"
