Date,Open,High,Low,Close,Volume
12/31/2008,"4.76","4.76","4.58","4.58","2,838,745"
12/30/2008,"4.63","4.76","4.63","4.76","2,081,262"
12/26/2008,"4.54","4.63","4.54","4.63","534,478"
12/24/2008,"4.58","4.58","4.49","4.54","2,328,764"
12/23/2008,"4.63","4.63","4.54","4.58","2,302,151"
12/22/2008,"4.67","4.80","4.54","4.58","3,693,130"
12/19/2008,"4.71","4.71","4.67","4.71","1,735,828"
12/18/2008,"4.71","4.76","4.67","4.71","2,900,098"
12/17/2008,"4.71","4.80","4.67","4.71","2,373,192"
12/16/2008,"4.63","4.71","4.63","4.63","1,562,234"
12/15/2008,"4.71","4.71","4.58","4.58","2,743,095"
12/12/2008,"4.71","4.76","4.63","4.71","1,783,819"
12/11/2008,"4.67","4.85","4.67","4.85","1,884,535"
12/10/2008,"4.49","4.71","4.49","4.71","2,130,673"
12/09/2008,"4.71","4.71","4.49","4.49","3,495,818"
12/05/2008,"4.63","4.67","4.58","4.63","1,676,924"
12/04/2008,"4.58","4.71","4.58","4.67","1,629,600"
12/03/2008,"4.63","4.67","4.58","4.58","4,015,375"
12/02/2008,"4.49","4.63","4.47","4.63","3,368,546"
12/01/2008,"4.58","4.63","4.54","4.58","4,773,554"
11/28/2008,"4.67","4.71","4.58","4.63","4,808,740"
11/27/2008,"4.54","4.67","4.49","4.67","2,183,119"
11/26/2008,"4.54","4.54","4.47","4.54","2,851,884"
11/25/2008,"4.54","4.58","4.47","4.54","3,246,061"
11/24/2008,"4.49","4.49","4.45","4.47","2,298,477"
11/21/2008,"4.42","4.54","4.42","4.45","10,061,654"
11/20/2008,"4.49","4.58","4.45","4.49","7,703,048"
11/19/2008,"4.76","4.76","4.58","4.58","5,707,442"
11/18/2008,"4.71","4.76","4.67","4.76","5,305,137"
11/17/2008,"4.63","4.76","4.63","4.76","4,638,932"
11/14/2008,"4.71","4.76","4.63","4.67","7,717,413"
11/13/2008,"4.76","4.76","4.58","4.63","8,098,005"
11/12/2008,"4.85","4.94","4.76","4.89","5,405,240"
11/11/2008,"4.94","4.98","4.89","4.94","4,761,640"
11/10/2008,"5.16","5.16","4.94","4.98","3,933,645"
11/07/2008,"4.94","5.12","4.85","5.07","7,975,743"
11/06/2008,"5.30","5.30","5.07","5.12","6,789,537"
11/05/2008,"5.39","5.57","5.34","5.43","8,245,543"
11/04/2008,"5.25","5.39","5.16","5.34","7,400,957"
11/03/2008,"4.85","5.25","4.85","5.25","6,517,844"
10/31/2008,"4.63","4.85","4.63","4.80","8,790,377"
10/30/2008,"4.58","4.67","4.49","4.63","6,054,185"
10/29/2008,"4.67","4.71","4.49","4.49","5,855,315"
10/28/2008,"4.45","4.58","4.26","4.49","13,295,578"
10/24/2008,"4.58","4.63","4.47","4.54","11,954,485"
10/23/2008,"4.54","4.71","4.49","4.63","7,296,177"
10/22/2008,"4.80","4.80","4.67","4.76","6,526,752"
10/21/2008,"4.89","4.89","4.76","4.85","4,857,066"
10/20/2008,"4.63","4.76","4.44","4.76","5,082,103"
10/17/2008,"4.98","4.98","4.49","4.58","10,356,062"
10/16/2008,"5.07","5.07","4.85","4.89","10,479,437"
10/15/2008,"5.16","5.16","5.07","5.16","5,703,211"
10/14/2008,"5.07","5.21","5.03","5.16","20,617,589"
10/13/2008,"5.03","5.12","4.94","4.98","10,430,778"
10/10/2008,"5.12","5.12","4.89","4.98","18,765,846"
10/09/2008,"5.30","5.39","5.25","5.25","9,112,065"
10/08/2008,"5.61","5.61","5.30","5.30","10,204,181"
10/07/2008,"5.75","5.75","5.61","5.70","6,922,488"
10/06/2008,"5.93","5.93","5.79","5.88","9,161,059"
10/03/2008,"5.88","5.97","5.84","5.93","20,295,342"
09/26/2008,"6.15","6.20","6.11","6.20","2,267,522"
09/25/2008,"6.20","6.24","6.06","6.20","3,193,727"
09/24/2008,"6.20","6.24","6.15","6.20","2,073,551"
09/23/2008,"6.20","6.29","6.15","6.24","3,813,610"
09/22/2008,"6.38","6.42","6.20","6.24","3,297,282"
09/19/2008,"6.33","6.42","6.24","6.29","8,521,022"
09/18/2008,"6.11","6.29","5.93","6.20","8,683,815"
09/17/2008,"6.65","6.65","6.15","6.20","12,060,044"
09/16/2008,"7.05","7.05","6.65","6.65","5,887,383"
09/15/2008,"6.83","7.05","6.78","7.05","2,948,758"
09/12/2008,"6.78","6.96","6.78","6.92","2,038,921"
09/11/2008,"6.96","6.96","6.74","6.74","2,224,875"
09/10/2008,"6.87","7.00","6.87","6.96","2,494,897"
09/09/2008,"7.00","7.05","6.87","6.92","1,971,666"
09/08/2008,"6.96","7.14","6.92","6.92","5,331,081"
09/05/2008,"6.92","7.00","6.87","6.96","3,784,102"
09/04/2008,"6.83","7.05","6.83","7.00","2,525,407"
09/03/2008,"6.92","6.96","6.83","6.92","2,735,078"
09/02/2008,"7.00","7.00","6.83","6.92","1,828,916"
08/29/2008,"6.65","7.05","6.65","7.05","4,115,367"
08/28/2008,"6.56","6.69","6.56","6.65","3,162,104"
08/27/2008,"6.74","6.78","6.56","6.56","1,162,378"
08/26/2008,"6.60","6.78","6.56","6.74","579,797"
08/25/2008,"6.69","6.83","6.60","6.60","1,242,883"
08/22/2008,"6.51","6.74","6.47","6.69","696,714"
08/21/2008,"6.51","6.60","6.47","6.47","1,082,540"
08/20/2008,"6.56","6.65","6.51","6.51","2,487,326"
08/19/2008,"6.65","6.65","6.47","6.56","1,957,747"
08/18/2008,"6.69","6.74","6.60","6.65","2,824,269"
08/15/2008,"6.78","6.78","6.69","6.69","1,328,400"
08/14/2008,"6.87","6.92","6.69","6.78","3,026,814"
08/13/2008,"6.87","6.92","6.78","6.92","883,892"
08/12/2008,"6.92","6.92","6.87","6.87","843,695"
08/11/2008,"6.83","7.00","6.78","7.00","793,811"
08/08/2008,"6.83","6.83","6.74","6.78","1,346,383"
08/07/2008,"7.00","7.05","6.83","6.92","2,518,503"
08/06/2008,"7.05","7.09","7.00","7.09","4,409,775"
08/05/2008,"7.05","7.05","6.96","7.00","5,426,953"
08/04/2008,"7.14","7.14","6.96","7.05","3,112,887"
08/01/2008,"7.14","7.14","7.00","7.14","4,057,131"
07/31/2008,"7.09","7.14","7.05","7.14","2,941,186"
07/30/2008,"7.00","7.27","7.00","7.09","9,481,300"
07/29/2008,"6.74","6.78","6.69","6.78","1,163,602"
07/28/2008,"6.78","6.83","6.74","6.78","1,684,384"
07/25/2008,"6.74","6.78","6.56","6.78","3,084,716"
07/24/2008,"6.60","6.83","6.56","6.83","4,155,341"
07/23/2008,"6.47","6.60","6.42","6.60","5,172,742"
07/22/2008,"6.38","6.47","6.33","6.38","3,809,601"
07/21/2008,"6.42","6.42","6.33","6.38","3,070,463"
07/18/2008,"6.42","6.47","6.33","6.42","4,113,251"
07/17/2008,"6.51","6.51","6.33","6.38","360,995"
07/16/2008,"6.38","6.47","6.29","6.42","4,384,276"
07/15/2008,"6.56","6.56","6.38","6.38","1,966,878"
07/14/2008,"6.47","6.56","6.47","6.56","1,719,682"
07/11/2008,"6.38","6.69","6.38","6.51","2,312,284"
07/10/2008,"6.38","6.47","6.33","6.38","774,770"
07/09/2008,"6.33","6.47","6.29","6.42","1,483,176"
07/08/2008,"6.29","6.42","6.24","6.29","1,844,950"
07/07/2008,"6.29","6.29","6.24","6.24","1,546,422"
07/04/2008,"6.20","6.33","6.15","6.29","3,813,053"
07/02/2008,"6.33","6.42","6.29","6.33","2,770,487"
07/01/2008,"6.33","6.38","6.29","6.38","3,641,352"
06/30/2008,"6.33","6.42","6.29","6.33","11,718,980"
06/27/2008,"6.38","6.51","6.38","6.42","1,656,101"
06/26/2008,"6.51","6.56","6.47","6.47","2,339,676"
06/25/2008,"6.42","6.60","6.42","6.51","13,195,475"
06/24/2008,"6.42","6.47","6.42","6.42","4,328,045"
06/23/2008,"6.38","6.47","6.33","6.42","1,758,766"
06/20/2008,"6.42","6.51","6.38","6.38","13,616,153"
06/19/2008,"6.38","6.47","6.33","6.42","3,661,729"
06/18/2008,"6.47","6.47","6.42","6.42","7,755,160"
06/17/2008,"6.56","6.56","6.47","6.47","7,318,113"
06/16/2008,"6.60","6.65","6.51","6.56","12,349,664"
06/13/2008,"6.60","6.65","6.56","6.60","3,721,190"
06/12/2008,"6.56","6.69","6.56","6.56","8,995,037"
06/11/2008,"6.65","6.69","6.60","6.60","3,774,415"
06/10/2008,"6.60","6.65","6.60","6.60","4,102,339"
06/09/2008,"6.51","6.65","6.47","6.60","3,421,103"
06/06/2008,"6.65","6.69","6.56","6.65","3,876,745"
06/05/2008,"6.60","6.65","6.47","6.56","5,332,417"
06/04/2008,"6.69","6.74","6.60","6.60","5,925,687"
06/03/2008,"6.65","6.74","6.65","6.65","8,434,838"
06/02/2008,"6.74","6.74","6.65","6.65","6,157,517"
05/30/2008,"6.74","6.74","6.65","6.74","34,970,766"
05/29/2008,"6.74","6.78","6.69","6.69","16,576,826"
05/28/2008,"6.83","6.83","6.74","6.74","9,382,311"
05/27/2008,"6.74","6.83","6.74","6.83","1,565,686"
05/26/2008,"6.83","6.83","6.74","6.74","8,617,339"
05/23/2008,"6.87","6.96","6.83","6.83","10,869,829"
05/22/2008,"6.92","6.96","6.87","6.87","4,616,997"
05/21/2008,"6.96","7.05","6.92","6.96","4,988,570"
05/20/2008,"7.09","7.09","7.00","7.00","15,094,541"
05/16/2008,"7.05","7.09","7.00","7.09","6,241,252"
05/15/2008,"7.05","7.05","6.96","7.05","13,032,905"
05/14/2008,"7.05","7.05","7.00","7.00","6,937,521"
05/13/2008,"7.05","7.09","6.96","7.00","10,236,584"
05/12/2008,"7.05","7.09","7.00","7.05","7,212,777"
05/09/2008,"7.00","7.09","6.96","7.05","3,463,750"
05/08/2008,"6.92","7.00","6.92","6.96","6,096,832"
05/07/2008,"6.92","7.00","6.87","6.96","6,892,869"
05/06/2008,"6.78","7.05","6.78","6.92","20,267,728"
05/02/2008,"7.23","7.27","7.14","7.18","4,383,051"
04/30/2008,"7.32","7.32","7.18","7.18","9,385,206"
04/29/2008,"7.36","7.36","7.23","7.23","4,412,336"
04/28/2008,"7.27","7.41","7.23","7.27","3,709,053"
04/25/2008,"7.36","7.45","7.27","7.27","3,343,826"
04/24/2008,"7.41","7.45","7.36","7.36","3,931,640"
04/23/2008,"7.36","7.54","7.36","7.41","6,188,361"
04/22/2008,"7.41","7.45","7.36","7.36","4,363,899"
04/21/2008,"7.45","7.45","7.36","7.41","5,260,597"
04/18/2008,"7.36","7.41","7.32","7.32","3,364,760"
04/17/2008,"7.45","7.45","7.32","7.36","7,405,411"
04/16/2008,"7.45","7.45","7.36","7.36","8,370,478"
04/15/2008,"7.41","7.45","7.32","7.45","5,660,564"
04/14/2008,"7.36","7.41","7.32","7.41","2,400,139"
04/11/2008,"7.41","7.50","7.36","7.41","3,036,167"
04/10/2008,"7.36","7.41","7.32","7.41","4,950,711"
04/09/2008,"7.36","7.41","7.32","7.36","12,366,478"
04/08/2008,"7.32","7.41","7.32","7.36","3,194,172"
04/07/2008,"7.36","7.36","7.27","7.32","4,978,882"
04/04/2008,"7.32","7.41","7.27","7.32","6,221,098"
04/03/2008,"7.41","7.45","7.27","7.32","11,423,013"
04/02/2008,"7.63","7.68","7.36","7.41","11,190,738"
04/01/2008,"7.59","7.63","7.54","7.59","4,622,564"
03/31/2008,"7.68","7.68","7.59","7.59","10,228,456"
03/28/2008,"7.45","7.72","7.45","7.68","24,658,797"
03/27/2008,"7.54","7.59","7.18","7.54","46,871,689"
03/25/2008,"7.86","8.04","7.86","8.04","2,832,732"
